Complexity,Loss,Equation
1,0.008836448,"0.47511417"
3,0.0060807522,"log10_sigma * 0.101827666"
4,0.0030981663,"log(log10_sigma / log10_f)"
6,0.0024204357,"log(log10_sigma * 6.3925614) - log10_f"
7,0.0016455817,"((log10_sigma * 0.3443809) + 1.7845818) - log10_f"
9,0.0015883442,"(log10_f * ((log10_sigma * 0.11822358) + -1.4708912)) + 3.1553175"
10,0.0013370244,"((local_t + 1.582593) * log(log10_sigma * 0.18639411)) + 0.6871726"
12,0.0012324407,"(alpha_infinity * (log(log10_sigma * 0.1983138) * (local_t + 0.9942967))) + 0.5865626"
13,0.0010481635,"((log(log10_sigma * 0.19315755) * (local_t + sqrt(alpha_infinity))) + 0.48193598) * 1.3189423"
14,0.000787159,"((local_t + (-1.4674388 - (log10_k0_prime / 2.7417433))) * log(log10_sigma * 0.18486989)) + 0.70267284"
18,0.0007524321,"0.64963657 + (sqrt(alpha_infinity) * ((log(-0.47634515 - (log10_k0_prime / 2.1277938)) + local_t) * log(log10_sigma * 0.19028626)))"
19,0.00052958896,"((log(log10_sigma * 0.18994364) * ((local_t + (log10_f * -0.86859316)) - (log10_k0_prime / 2.1799304))) * sqrt(alpha_infinity)) + 0.6628767"
21,0.0004921817,"(((local_t - (log10_k0_prime / 2.686745)) + ((log10_f * -0.4180266) - 0.6049735)) * (log(log10_sigma * 0.19001888) * sqrt(alpha_infinity))) + 0.6601546"
