complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073540537,-0.32484606,0.0,-0.324846060000000,PySRFunction(X=>-0.324846060000000)
3,0.0055051856,-1.5314677 / log10_sigma,0.1447806002949376,-1.5314677/log10_sigma,PySRFunction(X=>-1.5314677/log10_sigma)
4,0.0032278602,log(log10_sigma * 0.15427503),0.5338710434913609,log(0.15427503*log10_sigma),PySRFunction(X=>log(0.15427503*log10_sigma))
5,0.0026658364,(log10_sigma + -5.683411) / log10_f,0.19130158638742206,(log10_sigma - 5.683411)/log10_f,PySRFunction(X=>(log10_sigma - 5.683411)/log10_f)
7,0.0019415164,(log10_sigma + -5.728076) / (alpha_infinity + 1.693666),0.15852426865067054,(log10_sigma - 5.728076)/(alpha_infinity + 1.693666),PySRFunction(X=>(log10_sigma - 5.728076)/(alpha_infinity + 1.693666))
9,0.0017208152,(log10_sigma + -5.725151) / (alpha_infinity + (log10_lambda / -2.408086)),0.06033559259882801,(log10_sigma - 5.725151)/(alpha_infinity + log10_lambda/(-2.408086)),PySRFunction(X=>(log10_sigma - 5.725151)/(alpha_infinity + log10_lambda/(-2.408086)))
10,0.0016520859,(log10_sigma + -5.6767583) / ((log10_lambda / -1.5360519) + log(alpha_infinity)),0.040759460707603286,(log10_sigma - 5.6767583)/(-0.651019669322371*log10_lambda + log(alpha_infinity)),PySRFunction(X=>(log10_sigma - 5.6767583)/(-0.651019669322371*log10_lambda + log(alpha_infinity)))
12,0.0015737528,(log10_sigma + -5.6584578) / (log(alpha_infinity) + ((log10_lambda / -1.0394663) - 1.3072644)),0.024287792880490666,(log10_sigma - 5.6584578)/(-0.962032150537252*log10_lambda + log(alpha_infinity) - 1.3072644),PySRFunction(X=>(log10_sigma - 5.6584578)/(-0.962032150537252*log10_lambda + log(alpha_infinity) - 1.3072644))
13,0.0014859327,(log10_sigma + -6.023741) / ((alpha_infinity + (log10_sigma + -6.9520364)) + (log10_lambda / -0.82711357)),0.057420429662126585,(log10_sigma - 6.023741)/(alpha_infinity + log10_lambda/(-0.82711357) + log10_sigma - 6.9520364),PySRFunction(X=>(log10_sigma - 6.023741)/(alpha_infinity + log10_lambda/(-0.82711357) + log10_sigma - 6.9520364))
19,0.0013379395,1.5448704 - (((log10_lambda / (log10_sigma + ((log10_sigma + (alpha_infinity * (log10_lambda + 0.75826514))) * 0.6864867))) - -9.7087555) / log10_sigma),0.017485318660036633,1.5448704 - (log10_lambda/(log10_sigma + (alpha_infinity*(log10_lambda + 0.75826514) + log10_sigma)*0.6864867) - 1*(-9.7087555))/log10_sigma,PySRFunction(X=>1.5448704 - (log10_lambda/(log10_sigma + (alpha_infinity*(log10_lambda + 0.75826514) + log10_sigma)*0.6864867) - 1*(-9.7087555))/log10_sigma)
21,0.0013350393,1.5459771 - (((log10_lambda / ((((((log10_lambda + 0.6674658) - -0.20624161) * alpha_infinity) + log10_sigma) * 0.7522063) + log10_sigma)) - -9.701002) / log10_sigma),0.001085007160579616,1.5459771 - (log10_lambda/(log10_sigma + (alpha_infinity*(log10_lambda - 1*(-0.20624161) + 0.6674658) + log10_sigma)*0.7522063) - 1*(-9.701002))/log10_sigma,PySRFunction(X=>1.5459771 - (log10_lambda/(log10_sigma + (alpha_infinity*(log10_lambda - 1*(-0.20624161) + 0.6674658) + log10_sigma)*0.7522063) - 1*(-9.701002))/log10_sigma)
22,0.0011830374,1.6105391 - (((log10_lambda / (((log10_k0_prime * (((log10_lambda + log(alpha_infinity)) * alpha_infinity) + log10_sigma)) * -0.0843065) + log10_sigma)) - -10.095073) / log10_sigma),0.12087553058533708,1.6105391 - (log10_lambda/(-0.0843065*log10_k0_prime*(alpha_infinity*(log10_lambda + log(alpha_infinity)) + log10_sigma) + log10_sigma) + 10.095073)/log10_sigma,PySRFunction(X=>1.6105391 - (log10_lambda/(-0.0843065*log10_k0_prime*(alpha_infinity*(log10_lambda + log(alpha_infinity)) + log10_sigma) + log10_sigma) + 10.095073)/log10_sigma)
24,0.00066679175,1.8092678 - (((log10_lambda / (log10_sigma + ((alpha_infinity * (log10_sigma + ((log10_lambda + -0.71090996) * (log10_f - sqrt(log10_f))))) - -1.9512942))) - -11.003548) / log10_sigma),0.28668134987168054,1.8092678 - (log10_lambda/(alpha_infinity*(log10_sigma + (-sqrt(log10_f) + log10_f)*(log10_lambda - 0.71090996)) + log10_sigma + 1.9512942) + 11.003548)/log10_sigma,PySRFunction(X=>1.8092678 - (log10_lambda/(alpha_infinity*(log10_sigma + (-sqrt(log10_f) + log10_f)*(log10_lambda - 0.71090996)) + log10_sigma + 1.9512942) + 11.003548)/log10_sigma)
