complexity,loss,equation,score,sympy_format,lambda_format
1,0.0054547605,-0.25393125,0.0,-0.253931250000000,PySRFunction(X=>-0.253931250000000)
3,0.003955329,-0.37154055 / alpha_infinity,0.1607124650230052,-0.37154055/alpha_infinity,PySRFunction(X=>-0.37154055/alpha_infinity)
4,0.0039529074,-0.31240234 / sqrt(alpha_infinity),0.0006124248070497899,-0.31240234/sqrt(alpha_infinity),PySRFunction(X=>-0.31240234/sqrt(alpha_infinity))
5,0.0036165265,(-1.7414075 / log10_sigma) / alpha_infinity,0.08893732398655883,-1.7414075/(alpha_infinity*log10_sigma),PySRFunction(X=>-1.7414075/(alpha_infinity*log10_sigma))
6,0.0035450466,log(log(sqrt(log10_f + alpha_infinity))),0.019962729634238608,log(log(sqrt(alpha_infinity + log10_f))),PySRFunction(X=>log(log(sqrt(alpha_infinity + log10_f))))
7,0.0031320744,(4.197593 / (log10_lambda - alpha_infinity)) + 0.49883658,0.12385577253703944,0.49883658 + 4.197593/(-alpha_infinity + log10_lambda),PySRFunction(X=>0.49883658 + 4.197593/(-alpha_infinity + log10_lambda))
8,0.003130081,log(log(sqrt(alpha_infinity + (-0.8571778 - log10_lambda)))),0.0006366498242222495,log(log(sqrt(alpha_infinity - log10_lambda - 0.8571778))),PySRFunction(X=>log(log(sqrt(alpha_infinity - log10_lambda - 0.8571778))))
9,0.0027437895,((4.1975365 / (log10_lambda - alpha_infinity)) + -2.6689334) + log10_f,0.131718888718395,log10_f - 2.6689334 + 4.1975365/(-alpha_infinity + log10_lambda),PySRFunction(X=>log10_f - 2.6689334 + 4.1975365/(-alpha_infinity + log10_lambda))
11,0.0026609409,(log10_f + (2.6468985 / log10_lambda)) + (-2.9694157 - (-0.13046424 * alpha_infinity)),0.015330106019880512,-(-1)*0.13046424*alpha_infinity + log10_f - 2.9694157 + 2.6468985/log10_lambda,PySRFunction(X=>-(-1)*0.13046424*alpha_infinity + log10_f - 2.9694157 + 2.6468985/log10_lambda)
12,0.0024355238,(log10_f + (9.178139 / ((log10_lambda - alpha_infinity) * sqrt(log10_sigma)))) + -2.661019,0.08851793571588212,log10_f - 2.661019 + 9.178139/(sqrt(log10_sigma)*(-alpha_infinity + log10_lambda)),PySRFunction(X=>log10_f - 2.661019 + 9.178139/(sqrt(log10_sigma)*(-alpha_infinity + log10_lambda)))
14,0.0024353655,((9.378348 / ((log10_lambda - alpha_infinity) * sqrt(log10_sigma + 0.16079193))) + -2.6574605) + log10_f,3.249919887438838e-05,log10_f - 2.6574605 + 9.378348/((-alpha_infinity + log10_lambda)*sqrt(log10_sigma + 0.16079193)),PySRFunction(X=>log10_f - 2.6574605 + 9.378348/((-alpha_infinity + log10_lambda)*sqrt(log10_sigma + 0.16079193)))
16,0.002426694,((log10_f + -1.9898055) / 1.4227962) + (6.840542 / (log10_lambda - sqrt(alpha_infinity * (log10_sigma - 1.2893366)))),0.001783505363182885,0.702841348606357*log10_f - 1.39851758108435 + 6.840542/(log10_lambda - sqrt(alpha_infinity*(log10_sigma - 1.2893366))),PySRFunction(X=>0.702841348606357*log10_f - 1.39851758108435 + 6.840542/(log10_lambda - sqrt(alpha_infinity*(log10_sigma - 1.2893366))))
17,0.0024118605,log10_f + (-2.2564037 + (6.9869328 / (log10_lambda - sqrt(sqrt(alpha_infinity) * (log10_sigma + (alpha_infinity - 3.144531)))))),0.006131395841825243,log10_f - 2.2564037 + 6.9869328/(log10_lambda - sqrt(sqrt(alpha_infinity)*(alpha_infinity + log10_sigma - 3.144531))),PySRFunction(X=>log10_f - 2.2564037 + 6.9869328/(log10_lambda - sqrt(sqrt(alpha_infinity)*(alpha_infinity + log10_sigma - 3.144531))))
18,0.0023073966,((13.120899 / (log10_lambda - sqrt(((log10_f * log10_sigma) - log10_f) - (alpha_infinity * log10_k0_prime)))) + -1.9642553) + log10_f,0.04427856538150056,log10_f - 1.9642553 + 13.120899/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime + log10_f*log10_sigma - log10_f)),PySRFunction(X=>log10_f - 1.9642553 + 13.120899/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime + log10_f*log10_sigma - log10_f)))
20,0.002302926,(((13.120165 / (log10_lambda - sqrt(((log10_sigma * log10_f) - 2.57303) - (log10_k0_prime * alpha_infinity)))) + -1.9920994) + log10_f) * 0.9334718,0.0009696938347100267,0.9334718*log10_f - 1.85956861269692 + 12.247304038847/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime + log10_f*log10_sigma - 2.57303)),PySRFunction(X=>0.9334718*log10_f - 1.85956861269692 + 12.247304038847/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime + log10_f*log10_sigma - 2.57303)))
22,0.0022706056,((15.775314 / (log10_lambda - sqrt((log10_sigma * log10_f) - ((alpha_infinity * log10_k0_prime) - (log10_sigma - (log10_f + alpha_infinity)))))) + log10_f) + -1.7280945,0.007066954133423922,log10_f - 1.7280945 + 15.775314/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime - alpha_infinity + log10_f*log10_sigma - log10_f + log10_sigma)),PySRFunction(X=>log10_f - 1.7280945 + 15.775314/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime - alpha_infinity + log10_f*log10_sigma - log10_f + log10_sigma)))
24,0.0022011113,(log10_f + -2.2529378) + (9.621358 / (log10_lambda - sqrt(((log10_f * (log10_sigma - log10_f)) - (log10_k0_prime * alpha_infinity)) - ((log10_f + 1.6214528) - log10_sigma)))),0.015542105432119107,log10_f - 2.2529378 + 9.621358/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime + log10_f*(-log10_f + log10_sigma) - log10_f + log10_sigma - 1.6214528)),PySRFunction(X=>log10_f - 2.2529378 + 9.621358/(log10_lambda - sqrt(-alpha_infinity*log10_k0_prime + log10_f*(-log10_f + log10_sigma) - log10_f + log10_sigma - 1.6214528)))
