Complexity,Loss,Equation
1,0.017317459,"0.76509833"
3,0.0042670714,"1.9275517 / log10_f"
4,0.0007375265,"log(2.1491494 - local_t)"
5,0.00056733226,"0.75511515 - (local_t * 0.441104)"
6,0.0005341193,"0.754638 - (local_t / sqrt(log10_sigma))"
7,0.00044860085,"((local_t * -2.0689402) / log10_sigma) - -0.7550914"
8,0.00040497567,"0.7551149 - (local_t * (2.6059813 - sqrt(log10_sigma)))"
9,0.00039173808,"(local_t * ((log10_k0_prime * 0.2460726) / log10_sigma)) - -0.75508237"
11,0.00034922388,"0.75510645 - ((local_t / log10_sigma) / (log10_sigma / (log10_k0_prime * -1.1462457)))"
13,0.00031127405,"0.8498888 - ((((local_t / log10_sigma) * -1.1466951) + -0.05271317) / (log10_sigma / log10_k0_prime))"
15,0.00029182542,"0.8519536 - (((local_t / log10_sigma) + 0.046860997) * (-1.6318389 / (log10_sigma / (log10_k0_prime + 2.4973853))))"
18,0.00028889638,"0.83657354 - ((0.039540697 + (local_t / log10_sigma)) / (log10_sigma / (log(alpha_infinity / log10_f) + (log10_k0_prime * -1.2275047))))"
20,0.00028157237,"0.85278475 - (((local_t / log10_sigma) + 0.047902502) / (log10_sigma / (log((alpha_infinity + -0.06970319) / log10_f) + (log10_k0_prime * -1.2161573))))"
22,0.00026943398,"0.860738 - (((local_t / log10_sigma) + 0.051045947) / (log10_sigma / ((log10_k0_prime * -1.4789702) + log(((local_t2 - alpha_infinity) * 0.3713165) / log10_k0_prime))))"
