complexity,loss,equation,score,sympy_format,lambda_format
1,0.009567317,-0.37748045,0.0,-0.377480450000000,PySRFunction(X=>-0.377480450000000)
3,0.006494656,-1.7832081 / log10_sigma,0.19368656298973,-1.7832081/log10_sigma,PySRFunction(X=>-1.7832081/log10_sigma)
4,0.0026061255,sqrt(log10_sigma) + -2.5423496,0.9131150492618191,sqrt(log10_sigma) - 2.5423496,PySRFunction(X=>sqrt(log10_sigma) - 2.5423496)
5,0.0006204806,(log10_sigma * 0.44006047) + -2.4410017,1.4351255755748116,log10_sigma*0.44006047 - 2.4410017,PySRFunction(X=>log10_sigma*0.44006047 - 2.4410017)
6,0.0006199348,(sqrt(log10_sigma) * 1.890901) + -4.4710393,0.000880027828136385,1.890901*sqrt(log10_sigma) - 4.4710393,PySRFunction(X=>1.890901*sqrt(log10_sigma) - 4.4710393)
7,0.0005319946,((log10_sigma * 1.286666) + -7.1372166) / log10_f,0.15298097230478927,(log10_sigma*1.286666 - 7.1372166)/log10_f,PySRFunction(X=>(log10_sigma*1.286666 - 7.1372166)/log10_f)
8,0.0005257529,sqrt(log10_f) + ((log10_sigma * 0.44005996) + -4.1510186),0.011802008416968353,sqrt(log10_f) + 0.44005996*log10_sigma - 4.1510186,PySRFunction(X=>sqrt(log10_f) + 0.44005996*log10_sigma - 4.1510186)
9,0.00050042866,(log10_sigma * 0.4406972) + ((alpha_infinity * 0.035222806) + -2.4983842),0.04936627936391252,alpha_infinity*0.035222806 + log10_sigma*0.4406972 - 2.4983842,PySRFunction(X=>alpha_infinity*0.035222806 + log10_sigma*0.4406972 - 2.4983842)
10,0.000498701,(sqrt(alpha_infinity + (log10_sigma * 11.614427)) * 0.5635198) + -4.593901,0.0034583333696865276,0.5635198*sqrt(alpha_infinity + 11.614427*log10_sigma) - 4.593901,PySRFunction(X=>0.5635198*sqrt(alpha_infinity + 11.614427*log10_sigma) - 4.593901)
11,0.00048749472,((alpha_infinity * 0.035145734) + ((log10_f + log10_sigma) * 0.4315235)) + -3.7171705,0.022727258153603876,alpha_infinity*0.035145734 + (log10_f + log10_sigma)*0.4315235 - 3.7171705,PySRFunction(X=>alpha_infinity*0.035145734 + (log10_f + log10_sigma)*0.4315235 - 3.7171705)
12,0.00040409117,(log10_sigma * 0.44082782) + (sqrt(log10_f + (alpha_infinity * 0.12422056)) + -4.2097273),0.18763893879130053,0.44082782*log10_sigma + sqrt(0.12422056*alpha_infinity + log10_f) - 4.2097273,PySRFunction(X=>0.44082782*log10_sigma + sqrt(0.12422056*alpha_infinity + log10_f) - 4.2097273)
13,0.000351602,sqrt(log(alpha_infinity - log10_lambda) + log10_f) + ((log10_sigma * 0.4422791) + -4.6065307),0.13914066674173478,0.4422791*log10_sigma + sqrt(log10_f + log(alpha_infinity - log10_lambda)) - 4.6065307,PySRFunction(X=>0.4422791*log10_sigma + sqrt(log10_f + log(alpha_infinity - log10_lambda)) - 4.6065307)
14,0.00034695835,sqrt(sqrt(log(alpha_infinity) - log10_lambda) + log10_f) + ((log10_sigma * 0.44253385) + -4.696895),0.013295110152602336,0.44253385*log10_sigma + sqrt(log10_f + sqrt(-log10_lambda + log(alpha_infinity))) - 4.696895,PySRFunction(X=>0.44253385*log10_sigma + sqrt(log10_f + sqrt(-log10_lambda + log(alpha_infinity))) - 4.696895)
15,0.0003409922,(sqrt(sqrt((alpha_infinity * 0.6908966) - log10_lambda) + log10_f) + (log10_sigma * 0.44246653)) + -4.72969,0.017345140802768385,0.44246653*log10_sigma + sqrt(log10_f + sqrt(0.6908966*alpha_infinity - log10_lambda)) - 4.72969,PySRFunction(X=>0.44246653*log10_sigma + sqrt(log10_f + sqrt(0.6908966*alpha_infinity - log10_lambda)) - 4.72969)
19,0.0003392709,(sqrt(log10_f + sqrt(alpha_infinity - (log10_lambda - ((1.0319533 / alpha_infinity) * 0.55226344)))) + -4.7678943) + (log10_sigma * 0.44211522),0.0012651749548354347,0.44211522*log10_sigma + sqrt(log10_f + sqrt(alpha_infinity - log10_lambda + 0.569910079377352/alpha_infinity)) - 4.7678943,PySRFunction(X=>0.44211522*log10_sigma + sqrt(log10_f + sqrt(alpha_infinity - log10_lambda + 0.569910079377352/alpha_infinity)) - 4.7678943)
