complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073013715,-0.18791834,0.0,-0.187918340000000,PySRFunction(X=>-0.187918340000000)
3,0.004946024,-0.28072497 / alpha_infinity,0.19473909286330932,-0.28072497/alpha_infinity,PySRFunction(X=>-0.28072497/alpha_infinity)
5,0.0037508092,(alpha_infinity / log10_sigma) + -0.51801574,0.1383062090615221,alpha_infinity/log10_sigma - 0.51801574,PySRFunction(X=>alpha_infinity/log10_sigma - 0.51801574)
6,0.0037456362,(1.2637302 - log(log10_sigma)) / alpha_infinity,0.0013801209893688337,(1.2637302 - log(log10_sigma))/alpha_infinity,PySRFunction(X=>(1.2637302 - log(log10_sigma))/alpha_infinity)
7,0.0034725268,(-0.4778257 + (alpha_infinity / log10_sigma)) * alpha_infinity,0.07570896898186595,alpha_infinity*(alpha_infinity/log10_sigma - 0.4778257),PySRFunction(X=>alpha_infinity*(alpha_infinity/log10_sigma - 0.4778257))
8,0.0029797037,((alpha_infinity * 0.16008338) - log(log10_sigma)) + 1.10904,0.15305864735548896,0.16008338*alpha_infinity - log(log10_sigma) + 1.10904,PySRFunction(X=>0.16008338*alpha_infinity - log(log10_sigma) + 1.10904)
9,0.0022534134,((alpha_infinity * 0.2385443) / (log10_sigma - log10_f)) + -0.45244604,0.2793777327437925,alpha_infinity*0.2385443/(-log10_f + log10_sigma) - 0.45244604,PySRFunction(X=>alpha_infinity*0.2385443/(-log10_f + log10_sigma) - 0.45244604)
10,0.0019696068,(sqrt(alpha_infinity) / (log10_sigma - (log10_lambda * -0.5491278))) + -0.6980859,0.13461220438012308,sqrt(alpha_infinity)/(0.5491278*log10_lambda + log10_sigma) - 0.6980859,PySRFunction(X=>sqrt(alpha_infinity)/(0.5491278*log10_lambda + log10_sigma) - 0.6980859)
11,0.0014729231,((alpha_infinity / (log10_sigma - (log10_lambda / -1.1994302))) * 0.19234242) + -0.42596155,0.29058499918359426,alpha_infinity*0.19234242/(-log10_lambda/(-1.1994302) + log10_sigma) - 0.42596155,PySRFunction(X=>alpha_infinity*0.19234242/(-log10_lambda/(-1.1994302) + log10_sigma) - 0.42596155)
13,0.0014214949,((alpha_infinity * (log10_f / 18.880486)) / (log10_sigma - (log10_lambda / -1.1787076))) + -0.4130489,0.01776993269654302,alpha_infinity*log10_f/(18.880486*(-log10_lambda/(-1.1787076) + log10_sigma)) - 0.4130489,PySRFunction(X=>alpha_infinity*log10_f/(18.880486*(-log10_lambda/(-1.1787076) + log10_sigma)) - 0.4130489)
15,0.0013740618,-0.42315748 - (((log10_f / -10.34252) + 0.12787984) * (alpha_infinity / (log10_sigma - (log10_lambda / -1.1932536)))),0.016968946694231622,-alpha_infinity*(log10_f/(-10.34252) + 0.12787984)/(-log10_lambda/(-1.1932536) + log10_sigma) - 0.42315748,PySRFunction(X=>-alpha_infinity*(log10_f/(-10.34252) + 0.12787984)/(-log10_lambda/(-1.1932536) + log10_sigma) - 0.42315748)
17,0.0013215612,-0.37027666 - ((((alpha_infinity * (log10_f / 13.526844)) / -1.3111126) + 0.086620875) / (log10_sigma - (log10_lambda / -1.1474088))),0.01947870297725415,-0.37027666 - (alpha_infinity*log10_f/((-1.3111126)*13.526844) + 0.086620875)/(-log10_lambda/(-1.1474088) + log10_sigma),PySRFunction(X=>-0.37027666 - (alpha_infinity*log10_f/((-1.3111126)*13.526844) + 0.086620875)/(-log10_lambda/(-1.1474088) + log10_sigma))
21,0.0012352277,(-0.8306284 - (((log10_f * alpha_infinity) / (log10_sigma - (log10_lambda / -1.2005253))) / -8.355152)) / ((log10_sigma - (log10_lambda / -1.669993)) * 0.80396134),0.0168896098612599,(-alpha_infinity*log10_f/((-8.355152)*(-log10_lambda/(-1.2005253) + log10_sigma)) - 0.8306284)/(((-log10_lambda/(-1.669993) + log10_sigma)*0.80396134)),PySRFunction(X=>(-alpha_infinity*log10_f/((-8.355152)*(-log10_lambda/(-1.2005253) + log10_sigma)) - 0.8306284)/(((-log10_lambda/(-1.669993) + log10_sigma)*0.80396134)))
23,0.0012233505,(-0.8294198 - ((alpha_infinity * (log10_f / -8.359416)) / (log10_sigma - ((log10_lambda + -0.11018957) / -1.2377269)))) / ((log10_sigma - (log10_lambda / -1.7297536)) * 0.7834239),0.004830959778800868,(-alpha_infinity*log10_f/((-8.359416)*(log10_sigma - (log10_lambda - 0.11018957)/(-1.2377269))) - 0.8294198)/(((-log10_lambda/(-1.7297536) + log10_sigma)*0.7834239)),PySRFunction(X=>(-alpha_infinity*log10_f/((-8.359416)*(log10_sigma - (log10_lambda - 0.11018957)/(-1.2377269))) - 0.8294198)/(((-log10_lambda/(-1.7297536) + log10_sigma)*0.7834239)))
