complexity,loss,equation,score,sympy_format,lambda_format
1,0.002479809,-0.1857076,0.0,-0.185707600000000,PySRFunction(X=>-0.185707600000000)
3,0.0021929736,log10_sigma * -0.03972623,0.06146155501118377,log10_sigma*(-0.03972623),PySRFunction(X=>log10_sigma*(-0.03972623))
5,0.002035242,(log10_sigma * -0.098094754) - -0.274277,0.03732185015820678,log10_sigma*(-0.098094754) - 1*(-0.274277),PySRFunction(X=>log10_sigma*(-0.098094754) - 1*(-0.274277))
7,0.001963961,log10_sigma * (0.034202263 / (log10_lambda / log10_sigma)),0.017825689220939456,log10_sigma*0.034202263/(log10_lambda/log10_sigma),PySRFunction(X=>log10_sigma*0.034202263/(log10_lambda/log10_sigma))
9,0.0017997129,(((log10_sigma * -0.17207615) - -0.77921766) / alpha_infinity) + -0.16691954,0.04366810006033149,-0.16691954 + (log10_sigma*(-0.17207615) - 1*(-0.77921766))/alpha_infinity,PySRFunction(X=>-0.16691954 + (log10_sigma*(-0.17207615) - 1*(-0.77921766))/alpha_infinity)
11,0.0015610484,(((log10_sigma * -0.08018306) - -0.37481686) / (alpha_infinity - 0.7970053)) - 0.18406624,0.07113475268124016,-1*0.18406624 + (log10_sigma*(-0.08018306) - 1*(-0.37481686))/(alpha_infinity - 1*0.7970053),PySRFunction(X=>-1*0.18406624 + (log10_sigma*(-0.08018306) - 1*(-0.37481686))/(alpha_infinity - 1*0.7970053))
13,0.0013955279,(((log10_sigma / alpha_infinity) + -2.4832852) * ((log10_sigma * -0.1587066) - -0.74163693)) - 0.17863402,0.05604244009483282,(-2.4832852 + log10_sigma/alpha_infinity)*(log10_sigma*(-0.1587066) - 1*(-0.74163693)) - 1*0.17863402,PySRFunction(X=>(-2.4832852 + log10_sigma/alpha_infinity)*(log10_sigma*(-0.1587066) - 1*(-0.74163693)) - 1*0.17863402)
15,0.0013651924,((((log10_sigma * -0.1144182) - -0.5892752) * ((log10_sigma / alpha_infinity) - alpha_infinity)) - 0.36747462) / alpha_infinity,0.010988697771736711,((-alpha_infinity + log10_sigma/alpha_infinity)*(log10_sigma*(-0.1144182) - 1*(-0.5892752)) - 1*0.36747462)/alpha_infinity,PySRFunction(X=>((-alpha_infinity + log10_sigma/alpha_infinity)*(log10_sigma*(-0.1144182) - 1*(-0.5892752)) - 1*0.36747462)/alpha_infinity)
17,0.0013414941,(((((log10_sigma / alpha_infinity) + -0.51833564) - alpha_infinity) * ((log10_sigma * -0.14433578) - -0.72953326)) - 0.33894777) / alpha_infinity,0.00875568913651137,((log10_sigma*(-0.14433578) - 1*(-0.72953326))*(-alpha_infinity - 0.51833564 + log10_sigma/alpha_infinity) - 1*0.33894777)/alpha_infinity,PySRFunction(X=>((log10_sigma*(-0.14433578) - 1*(-0.72953326))*(-alpha_infinity - 0.51833564 + log10_sigma/alpha_infinity) - 1*0.33894777)/alpha_infinity)
18,0.0013172687,((((log10_sigma * -0.21295317) - -1.0748396) * (((log10_sigma / alpha_infinity) + -1.0163386) - log(log10_f))) - 0.34369045) / alpha_infinity,0.01822356656333561,((1.0748396 - 0.21295317*log10_sigma)*(-log(log10_f) - 1.0163386 + log10_sigma/alpha_infinity) - 0.34369045)/alpha_infinity,PySRFunction(X=>((1.0748396 - 0.21295317*log10_sigma)*(-log(log10_f) - 1.0163386 + log10_sigma/alpha_infinity) - 0.34369045)/alpha_infinity)
19,0.0013119748,((((log10_sigma / alpha_infinity) + (log10_f * -0.6086268)) * ((log10_sigma * -0.18499103) - -0.9377226)) - 0.32621878) * (1.0700239 / alpha_infinity),0.004026943228302199,((log10_f*(-0.6086268) + log10_sigma/alpha_infinity)*(log10_sigma*(-0.18499103) - 1*(-0.9377226)) - 1*0.32621878)*1.0700239/alpha_infinity,PySRFunction(X=>((log10_f*(-0.6086268) + log10_sigma/alpha_infinity)*(log10_sigma*(-0.18499103) - 1*(-0.9377226)) - 1*0.32621878)*1.0700239/alpha_infinity)
21,0.0013099003,((((log10_sigma / alpha_infinity) + (log10_f * -0.6165702)) * ((log10_sigma * -0.184644) - -0.93706656)) - 0.32032683) * (1.0675951 / (alpha_infinity + -0.03556369)),0.0007912277869024701,((log10_f*(-0.6165702) + log10_sigma/alpha_infinity)*(log10_sigma*(-0.184644) - 1*(-0.93706656)) - 1*0.32032683)*1.0675951/(alpha_infinity - 0.03556369),PySRFunction(X=>((log10_f*(-0.6165702) + log10_sigma/alpha_infinity)*(log10_sigma*(-0.184644) - 1*(-0.93706656)) - 1*0.32032683)*1.0675951/(alpha_infinity - 0.03556369))
23,0.0013089234,(((((((log10_sigma * -0.1843249) - -0.93164384) * 1.0645818) * ((log10_sigma / alpha_infinity) + (log10_f * -0.62710845))) - 0.4006093) + 0.075972274) * 1.0643218) / alpha_infinity,0.00037303009183569047,((log10_sigma*(-0.1843249) - 1*(-0.93164384))*1.0645818*(log10_f*(-0.62710845) + log10_sigma/alpha_infinity) - 1*0.4006093 + 0.075972274)*1.0643218/alpha_infinity,PySRFunction(X=>((log10_sigma*(-0.1843249) - 1*(-0.93164384))*1.0645818*(log10_f*(-0.62710845) + log10_sigma/alpha_infinity) - 1*0.4006093 + 0.075972274)*1.0643218/alpha_infinity)
