Complexity,Loss,Equation
1,0.00988217,"-0.31636584"
3,0.0060157324,"log10_f * -0.12688756"
4,0.003979908,"0.60694855 - log(log10_f)"
5,0.003635979,"0.5162258 - (log10_f * 0.32913446)"
6,0.0024095671,"(log(log10_sigma) - log10_f) * 0.32300293"
7,0.0011495773,"((log10_f * -1.6280309) / log10_sigma) + 0.56380486"
8,0.0010787775,"log(((log10_f / log10_sigma) * -1.2928213) - -1.4291846)"
9,0.0010480531,"(log10_f * ((-1.9782952 / log10_sigma) + 0.0936672)) - -0.51622456"
10,0.0006773045,"log(log10_f + -0.7637364) * ((-9.368905 / log10_sigma) + 1.4372368)"
11,0.0006477552,"log(log(log10_f) * log10_f) * (-1.7459658 - (log10_sigma * -0.2918217))"
12,0.00053994486,"log((-3.4440343 / log10_sigma) + log10_f) * ((-10.365119 / log10_sigma) + 1.6604788)"
13,0.0005389706,"(log(log(log10_f) * log10_f) * log10_k0_prime) * (0.20832825 - (log10_sigma * 0.034862135))"
14,0.0004852672,"(log((-4.395249 / log10_sigma) + log10_f) + 0.1780205) * ((-10.801641 / log10_sigma) + 1.8025633)"
15,0.0004111582,"((-2.4905977 - (log10_sigma * -0.46572757)) * log(log(log10_f) * (log10_f + -0.7245693))) - 0.16618834"
16,0.0003956585,"((-9.339109 / (log10_sigma + -0.89623123)) + 1.9150636) * log((-9.288313 / log10_sigma) + (log10_f + 1.2679423))"
18,0.00039472774,"(((-9.334928 / (log10_sigma + -0.9053679)) + 1.9287877) * log(((-9.335838 / log10_sigma) + log10_f) + 1.2661713)) - 0.009038471"
19,0.00038685638,"(log(((log10_f + -2.4462526) - (log10_sigma * -0.44712383)) * log(log10_f)) * (-2.4659684 - (log10_sigma * -0.4530042))) - 0.08645175"
21,0.00036887795,"(log(((log10_f + -2.4312704) - (log10_sigma * -0.43769565)) * log(log10_f)) * (-2.5135157 - (log10_sigma * -0.46328843))) - (log10_lambda_prime * -0.024414117)"
23,0.0003682477,"(log(((log10_f + -2.4326556) - (log10_sigma * -0.43416047)) * log(log10_f)) * (-2.5170152 - (log10_sigma * -0.46458852))) - ((log10_lambda_prime * 0.05138262) / -2.001335)"
