Complexity,Loss,Equation
1,0.002356181,"0.2690272"
3,0.0018660673,"3.920623 - log10_f"
4,0.0018529489,"log(4.960503 - log10_f)"
5,0.0018486873,"(log10_f * -0.8439796) - -3.3508985"
7,0.0016666651,"(1.0664939 / log10_k0_prime) / (3.179994 - log10_f)"
9,0.0015479128,"((log10_sigma / (log10_k0_prime / -0.51363456)) + 3.6338196) - log10_f"
10,0.0015303065,"log(((log10_sigma / (log10_k0_prime / -0.66186213)) + 4.5912685) - log10_f)"
11,0.0015263569,"((log10_sigma / ((log10_k0_prime / -0.44475302) - alpha_infinity)) + 3.6500146) - log10_f"
12,0.0015256251,"log((((log10_sigma - -0.3506279) / (log10_k0_prime / -0.6079365)) + 4.59599) - log10_f)"
13,0.0015096018,"log(((log10_sigma / ((log10_k0_prime / -0.629442) - log(alpha_infinity))) - log10_f) + 4.597965)"
15,0.0014932534,"((-0.90300757 - (log10_sigma * -0.010407406)) * (log10_f + log(log(0.5892032 - log10_k0_prime)))) - -4.0603166"
17,0.001490601,"((log(log(log(log(log10_sigma)) - log10_k0_prime)) + log10_f) * (-0.90416235 - (log10_sigma * -0.011859527))) - -4.0284457"
18,0.0014753998,"((-0.8857579 - (log10_sigma * -0.01202962)) * (log10_f + log(log(sqrt((0.6417098 / alpha_infinity) - log10_k0_prime))))) - -3.3679738"
20,0.0014610055,"(((log(log(log(sqrt(sqrt(log10_sigma))) - log10_k0_prime)) + log10_f) * (-1.9571711 - (log10_sigma * -0.2368784))) - -8.705959) - log10_sigma"
