complexity,loss,equation,score,sympy_format,lambda_format
1,0.008107034,-0.14839078,0.0,-0.148390780000000,PySRFunction(X=>-0.148390780000000)
3,0.0071485513,log10_sigma * -0.032292653,0.06291117955562281,log10_sigma*(-0.032292653),PySRFunction(X=>log10_sigma*(-0.032292653))
4,0.0034571732,log(4.038227 / log10_sigma),0.7264584598637156,log(4.038227/log10_sigma),PySRFunction(X=>log(4.038227/log10_sigma))
5,0.0027518778,(log10_sigma * -0.34045744) + 1.4480788,0.22816774591287525,1.4480788 + log10_sigma*(-0.34045744),PySRFunction(X=>1.4480788 + log10_sigma*(-0.34045744))
6,0.002749405,(log(log10_sigma) * -1.5709864) + 2.2775047,0.0008989903833120081,2.2775047 - 1.5709864*log(log10_sigma),PySRFunction(X=>2.2775047 - 1.5709864*log(log10_sigma))
7,0.002526078,((7.2301536 - local_t3) / log10_sigma) + -1.6936852,0.08471662232071318,-1.6936852 + (7.2301536 - local_t3)/log10_sigma,PySRFunction(X=>-1.6936852 + (7.2301536 - local_t3)/log10_sigma)
8,0.0024781057,(log(log10_f + log10_sigma) * -2.8070006) + 5.7676907,0.019173464646946563,5.7676907 - 2.8070006*log(log10_f + log10_sigma),PySRFunction(X=>5.7676907 - 2.8070006*log(log10_f + log10_sigma))
9,0.0020678316,(((log10_sigma * -0.52012) + 2.4564898) / alpha_infinity) + -0.16003326,0.18099391566861925,-0.16003326 + (2.4564898 + log10_sigma*(-0.52012))/alpha_infinity,PySRFunction(X=>-0.16003326 + (2.4564898 + log10_sigma*(-0.52012))/alpha_infinity)
10,0.0020638183,(((sqrt(log10_sigma) * -2.2349586) + 4.8557124) / alpha_infinity) + -0.15987517,0.001942711197396186,-0.15987517 + (4.8557124 - 2.2349586*sqrt(log10_sigma))/alpha_infinity,PySRFunction(X=>-0.15987517 + (4.8557124 - 2.2349586*sqrt(log10_sigma))/alpha_infinity)
11,0.0018539825,(((log10_sigma * -0.4786451) + 2.2989542) / (local_t + alpha_infinity)) + -0.1880806,0.10722178275003845,(2.2989542 + log10_sigma*(-0.4786451))/(alpha_infinity + local_t) - 0.1880806,PySRFunction(X=>(2.2989542 + log10_sigma*(-0.4786451))/(alpha_infinity + local_t) - 0.1880806)
13,0.0016511001,((((log10_sigma * -0.4548127) + 2.1829267) * (1.1338562 - local_t)) / alpha_infinity) + -0.1867111,0.05794711751354135,-0.1867111 + (1.1338562 - local_t)*(2.1829267 + log10_sigma*(-0.4548127))/alpha_infinity,PySRFunction(X=>-0.1867111 + (1.1338562 - local_t)*(2.1829267 + log10_sigma*(-0.4548127))/alpha_infinity)
14,0.0015259461,(((1.525342 / alpha_infinity) - local_t) * ((sqrt(log10_sigma) * -1.4376738) + 3.1523073)) + -0.18956202,0.07882718188378832,(3.1523073 - 1.4376738*sqrt(log10_sigma))*(-local_t + 1.525342/alpha_infinity) - 0.18956202,PySRFunction(X=>(3.1523073 - 1.4376738*sqrt(log10_sigma))*(-local_t + 1.525342/alpha_infinity) - 0.18956202)
16,0.0013345531,((4.773561 - ((local_t + 2.166925) * alpha_infinity)) * ((sqrt(log10_sigma) * -0.95911187) + 2.0930333)) + -0.1722791,0.06700906594156011,(2.0930333 - 0.95911187*sqrt(log10_sigma))*(-alpha_infinity*(local_t + 2.166925) + 4.773561) - 0.1722791,PySRFunction(X=>(2.0930333 - 0.95911187*sqrt(log10_sigma))*(-alpha_infinity*(local_t + 2.166925) + 4.773561) - 0.1722791)
18,0.0012964585,(((4.7980366 - (alpha_infinity * (local_t + 2.0375464))) * ((sqrt(log10_sigma) * -0.8522654) + 1.8613728)) + -0.16974941) / 0.96428657,0.01448008151291818,1.03703611676351*(1.8613728 - 0.8522654*sqrt(log10_sigma))*(-alpha_infinity*(local_t + 2.0375464) + 4.7980366) - 0.176036268969296,PySRFunction(X=>1.03703611676351*(1.8613728 - 0.8522654*sqrt(log10_sigma))*(-alpha_infinity*(local_t + 2.0375464) + 4.7980366) - 0.176036268969296)
19,0.0012719231,((((sqrt(log10_sigma) * -0.8238165) + 1.8013053) * sqrt(alpha_infinity)) * (4.7878456 - (alpha_infinity * (local_t + 2.1281135)))) + -0.1798502,0.01910630911303506,sqrt(alpha_infinity)*(1.8013053 - 0.8238165*sqrt(log10_sigma))*(-alpha_infinity*(local_t + 2.1281135) + 4.7878456) - 0.1798502,PySRFunction(X=>sqrt(alpha_infinity)*(1.8013053 - 0.8238165*sqrt(log10_sigma))*(-alpha_infinity*(local_t + 2.1281135) + 4.7878456) - 0.1798502)
20,0.0010139677,((2.2047064 - (alpha_infinity * (local_t - (log10_lambda + log10_f)))) * (((sqrt(log10_sigma) * -1.5090556) + 3.3002694) / alpha_infinity)) + -0.17952481,0.22665895649730336,-0.17952481 + (3.3002694 - 1.5090556*sqrt(log10_sigma))*(-alpha_infinity*(local_t - log10_f - log10_lambda) + 2.2047064)/alpha_infinity,PySRFunction(X=>-0.17952481 + (3.3002694 - 1.5090556*sqrt(log10_sigma))*(-alpha_infinity*(local_t - log10_f - log10_lambda) + 2.2047064)/alpha_infinity)
22,0.0009313345,(((((log10_sigma * -0.1272846) + 0.6074493) * (sqrt(log10_f) - ((local_t - (log10_lambda + log10_f)) * alpha_infinity))) / alpha_infinity) + -0.049643528) * log10_f,0.042503912884024365,log10_f*(-0.049643528 + (0.6074493 - 0.1272846*log10_sigma)*(-alpha_infinity*(local_t - log10_f - log10_lambda) + sqrt(log10_f))/alpha_infinity),PySRFunction(X=>log10_f*(-0.049643528 + (0.6074493 - 0.1272846*log10_sigma)*(-alpha_infinity*(local_t - log10_f - log10_lambda) + sqrt(log10_f))/alpha_infinity))
23,0.00092330057,log10_f * ((((sqrt(log10_f) - (alpha_infinity * (local_t - (log10_lambda + log10_f)))) / alpha_infinity) * ((sqrt(log10_sigma) * -0.54708683) + 1.1949388)) + -0.04962812),0.008663677703137694,log10_f*(-0.04962812 + (1.1949388 - 0.54708683*sqrt(log10_sigma))*(-alpha_infinity*(local_t - log10_f - log10_lambda) + sqrt(log10_f))/alpha_infinity),PySRFunction(X=>log10_f*(-0.04962812 + (1.1949388 - 0.54708683*sqrt(log10_sigma))*(-alpha_infinity*(local_t - log10_f - log10_lambda) + sqrt(log10_f))/alpha_infinity))
24,0.0008185768,(((2.353922 - ((local_t - (log(log10_sigma) * (log10_f + log10_lambda))) * alpha_infinity)) * ((sqrt(log10_sigma) * -1.5128133) + 3.3317184)) + -0.24750634) / sqrt(alpha_infinity),0.12038760354263152,((3.3317184 - 1.5128133*sqrt(log10_sigma))*(-alpha_infinity*(local_t - (log10_f + log10_lambda)*log(log10_sigma)) + 2.353922) - 0.24750634)/sqrt(alpha_infinity),PySRFunction(X=>((3.3317184 - 1.5128133*sqrt(log10_sigma))*(-alpha_infinity*(local_t - (log10_f + log10_lambda)*log(log10_sigma)) + 2.353922) - 0.24750634)/sqrt(alpha_infinity))
